Country Name,Country Code,Time,Time Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Broad money (current LCU) [FM.LBL.BMNY.CN]
United States,USA,1990,YR1990,9811054837000,4247161000000
United States,USA,1991,YR1991,9800432919000,4310890000000
United States,USA,1992,YR1992,10145647340000,4304287000000
United States,USA,1993,YR1993,10424833341000,4329959000000
United States,USA,1994,YR1994,10844828324000,4347481000000
United States,USA,1995,YR1995,11135927079000,4646119000000
United States,USA,1996,YR1996,11556037222000,5011559000000
United States,USA,1997,YR1997,12069954414000,5412659000000
United States,USA,1998,YR1998,12610856679000,5932377000000
United States,USA,1999,YR1999,13215484082000,6496459000000
United States,USA,2000,YR2000,13754300444000,7023352000000
United States,USA,2001,YR2001,13885563060000,7580500198181.05
United States,USA,2002,YR2002,14121054284000,7917998720540.51
United States,USA,2003,YR2003,14515908489000,8266683128541.8
United States,USA,2004,YR2004,15075141499000,8741359853877.03
United States,USA,2005,YR2005,15600241891000,9447094076739.34
United States,USA,2006,YR2006,16034367080000,10297599323202.7
United States,USA,2007,YR2007,16356739241000,11503807526482.2
United States,USA,2008,YR2008,16376725286000,12444255813345.6
United States,USA,2009,YR2009,15950948713000,13130258002953
United States,USA,2010,YR2010,16383037055000,12768868670908.1
United States,USA,2011,YR2011,16636956919000,13622257521129.8
United States,USA,2012,YR2012,17016393933000,14289978816859.1
United States,USA,2013,YR2013,17329814706000,14933186984470.5
United States,USA,2014,YR2014,17726282036000,15706487072700
United States,USA,2015,YR2015,18206020741000,16200148206841
United States,USA,2016,YR2016,18509601053000,16823761856960.4
United States,USA,2017,YR2017,18927118511000,17631631156299
United States,USA,2018,YR2018,19479574015000,18342259948911.8
United States,USA,2019,YR2019,19925436115000,19881523881838
United States,USA,2020,YR2020,19247056779000,23301047844003.4
United States,USA,2021,YR2021,20338578000000,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 09/16/2022,,,,,
